fold num,imgid,label,feature1,feature2,feature3
5,03aebf5c-6cca-40da-b61d-f3f83e1cbf9e___RS_HL 8080_final_masked.jpg,0,194,3,1368.905759
6,03cb0cf0-04cf-4549-a2b8-44ed75b2e56c___RS_HL 7460_final_masked.jpg,0,86.5,0,709.7960252
7,03d420e7-42a1-41d8-9600-16d577043c64___RS_HL 5738_final_masked.jpg,0,28904.5,0,700.8254627
8,03d9267c-935a-487b-a27f-fa22f935b299___RS_HL 5671_final_masked.jpg,0,152,0,1189.969686
9,03f6a4b2-d08b-4f7f-8a8e-d132ff3eca8b___RS_HL 6226_final_masked.jpg,0,91,0,1008.749343
0,04032305-5ca9-4110-b517-461f13c95f18___RS_HL 7446_final_masked.jpg,0,22344,0,599.4112492
1,04125537-801d-4e15-b66c-224b09b4e1a7___RS_HL 7457_final_masked.jpg,0,189.5,0,1405.148399
2,041482f6-6dd6-4ac9-9e59-e973c9bcaf6d___RS_HL 8155_final_masked.jpg,0,179,0,1305.449915
3,04467511-de12-439c-853f-ef4d99785541___RS_HL 7367_final_masked.jpg,0,117,0,509.3523741
5,0460b7aa-4eb0-4c0b-80e5-055ced6684a3___RS_HL 6287_final_masked.jpg,0,133.5,0,1195.241764
6,04d4f065-5cb8-4122-b479-d1362d007276___RS_HL 7719_final_masked.jpg,0,116,0,1326.714853
7,04f426ce-8f6f-400a-94f9-c513255d2fa4___RS_HL 7823_final_masked.jpg,0,67.5,0,574.8010775
8,0576bbc4-37b3-413c-8a35-4138c2da69a7___RS_HL 8038_final_masked.jpg,0,132.5,0,1036.614348
9,0580ddaa-0221-4adc-8b64-8ce1842f5f07___RS_HL 6242_final_masked.jpg,0,83,0,752.7249575
0,05e20036-a134-46c0-a06f-3c5d4768d787___RS_HL 5856_final_masked.jpg,0,29.5,0,232.5512966
1,063d4c39-48ee-4c1a-903a-fe1d8da621e1___RS_HL 7694_final_masked.jpg,0,147.5,5.5,1043.099629
2,0646a42e-9fdd-4914-9879-50843fe1ac6d___RS_HL 6111_final_masked.jpg,0,89.5,0,846.0214208
3,0692eda2-32c3-4f9a-b249-bb8112356999___RS_HL 6307_final_masked.jpg,0,13184,0,601.6122596
4,06b0742a-6d5d-40c6-a02e-ecaa7e1279f0___RS_HL 7639_final_masked.jpg,0,168,0,1452.822498
5,06c0c5f7-59cd-498b-8284-51290720a18d___RS_HL 7636_final_masked.jpg,0,158.5,0,1049.727045
6,06dad629-8898-4e90-bd0d-f1b34350b7a1___RS_HL 7387_final_masked.jpg,0,81.5,0,677.0264732
8,076255ae-2574-415a-b9db-feb739266656___RS_HL 7540_final_masked.jpg,0,70.5,0,600.3990566
0,07778a5c-8037-425f-aa83-d10b1e1d5db4___RS_HL 7269_final_masked.jpg,0,74,0,626.0142806
1,0793dfa6-3728-409b-a5dc-7f3c07528dde___RS_HL 7379_final_masked.jpg,0,157.5,0,1142.898618
2,07942abf-8326-4742-bcba-52ddba093974___RS_HL 5731_final_masked.jpg,0,24.5,0,314.3502861
3,079543ef-5ba8-46ad-95de-7c006c7e7f36___RS_HL 7570_final_masked.jpg,0,116.5,0,1098.187941
4,0802be25-38cf-4c85-bc3b-31988cafadcd___RS_HL 8084_final_masked.jpg,0,165.5,0,1297.124014
5,0872ffc6-d9db-4ba7-a2bf-1fb0f537cafb___RS_HL 6129_final_masked.jpg,0,46.5,0,393.7472547
7,08da0395-feee-4f66-b88b-2fa171d9521d___RS_HL 7779_final_masked.jpg,0,97,0,857.9797907
8,08f0fe63-3c64-49a2-b413-c0de91abcafd___RS_HL 8008_final_masked.jpg,0,66.5,0,490.6589421
9,09074cd1-a3f0-4d64-97d9-16919451bd58___RS_HL 6258_final_masked.jpg,0,76,0,482.4995618
0,09293103-81bd-45ef-b3ce-d163441d6b18___RS_HL 7337_final_masked.jpg,0,202,0,1330.846884
1,09994dfa-4aab-4ada-9ef2-431d050e1e38___RS_HL 5658_final_masked.jpg,0,209,0,1270.018456
2,09ad370f-ca6e-48fc-9b4b-990b0d9f6cd3___RS_HL 8135_final_masked.jpg,0,87,0,744.1808012
3,09b428ff-8046-4c05-9dc3-991b58e4a649___RS_HL 7731_final_masked.jpg,0,140.5,0,1254.756483
4,0a02e8cb-b715-497f-a16a-c28b3409f927___RS_HL 7432_final_masked.jpg,0,58,0,930.9259679
5,0a285c8b-1c31-48d4-89f2-af8b9edc36f6___RS_HL 5759_final_masked.jpg,0,65,0,557.1858535
6,0a553fc0-fc2c-4598-baba-3bc10191447c___RS_HL 5969_final_masked.jpg,0,150,0,1287.224519
7,0adc1c5b-8958-47c0-a152-f28078c214f1___RS_HL 7825_final_masked.jpg,0,118.5,0,802.1046811
8,0afaaf78-6ec5-49ee-a070-f6217039ed2d___RS_HL 7827_final_masked.jpg,0,148.5,0,1117.727045
9,0b00a1a8-b525-4392-bb6c-3ffb7d824bee___RS_HL 7904_final_masked.jpg,0,173.5,0,1174.638733
0,0b6ec66f-fe63-4eef-8068-cf8ed0baf0de___RS_HL 7482_final_masked.jpg,0,178,0,1296.479352
1,0b91573d-d0f3-4e57-b7e5-e1924f537f0e___RS_HL 6216_final_masked.jpg,0,162,0,1283.910811
2,0bb2ddc5-d1f4-4fc2-be6b-6b63c60790df___RS_HL 7550_final_masked.jpg,0,179.5,0,1375.207274
3,0bc2127e-99b9-44ea-bb2b-4e1b0b0f7624___RS_HL 7777_final_masked.jpg,0,148.5,0,1417.609295
4,0bff693d-bab0-4438-9dac-e4503e5e83bb___RS_HL 5741_final_masked.jpg,0,106,0,1163.66103
6,0c30f1f2-9eed-4861-bf66-eceae1b0b625___RS_HL 7430_final_masked.jpg,0,165,0,1380.337217
7,0c55b379-c6e7-4b89-959f-abc506fed437___RS_HL 5927_final_masked.jpg,0,175.5,0,1217.065139
8,0c83f4eb-4949-47c8-bf63-312d16e64913___RS_HL 7619_final_masked.jpg,0,47,0,315.84776
9,0ca762d0-3853-4018-896e-8f01e29cb144___RS_HL 7558_final_masked.jpg,0,164,3,927.200134
0,0ce497e6-8184-4ef6-9a9f-c46b66c898c3___RS_HL 6036_final_masked.jpg,0,62.5,0,635.4284941
1,0cfa2ddf-56d9-4f62-89a4-f74e220f1859___RS_HL 6196_final_masked.jpg,0,144.5,0,1407.46716
2,0d01a8a3-9faa-4a1f-afe0-be6bffa42056___RS_HL 6204_final_masked.jpg,0,123,0,1256.371707
3,0d072074-0253-4a6b-a4cb-02f520c46942___RS_HL 5805_final_masked.jpg,0,140.5,0,1258.697608
4,0d3fa72f-0441-45e8-b30f-a83904f48f99___RS_HL 6261_final_masked.jpg,0,147,0,1216.312832
5,0d6e0971-a3d3-4773-b694-b2161248fdaf___RS_HL 5836_final_masked.jpg,0,131,0,1196.087436
6,0d776b17-9724-44b9-9186-c89fd17bcf16___RS_HL 8073_final_masked.jpg,0,76.5,0,899.4528793
7,0da48999-25da-4373-8277-3718a8203d0a___RS_HL 8012_final_masked.jpg,0,162,0,1416.396092
8,0da8c59a-e54c-4408-ae3c-06d54608b20a___RS_HL 6236_final_masked.jpg,0,88.5,0,739.3107439
9,0e277198-95a0-4700-a7b0-f1881af2b1c0___RS_HL 7285_final_masked.jpg,0,138,0,952.5727174
0,0e3c0777-c214-4749-b8ae-4985274d2f9e___RS_HL 7984_final_masked.jpg,0,138,0,1021.401145
1,0e857e3d-34ff-4549-b8ef-4d699aacb178___RS_HL 7511_final_masked.jpg,0,121,0,911.5188947
2,0e8c4b90-36d4-4b8c-a134-88c344e97ac2___RS_HL 5721_final_masked.jpg,0,105,0,812.1219261
3,0e99efe9-d414-4091-b7b4-6ba6856db3d9___RS_HL 5841_final_masked.jpg,0,155.5,0,1608.864128
4,0e9d1f0c-19b3-4765-87cc-470413d16275___RS_HL 7637_final_masked.jpg,0,138.5,4,995.5016497
6,0ebf06b5-7471-42d7-b8d6-5a53127f90f3___RS_HL 8163_final_masked.jpg,0,134.5,0,1077.300639
7,0ec3bd54-80a1-4dcd-9411-bcfafd147272___RS_HL 7534_final_masked.jpg,0,69,0,393.2447286
8,0eceac69-c7bf-4e9e-a249-7ae23dcf065f___RS_HL 5888_final_masked.jpg,0,150,0,1335.910811
9,0eeeccc7-f3fb-4b7a-90ec-750fbf10f7e6___RS_HL 6249_final_masked.jpg,0,93,0,502.5584369
0,0f33804a-5389-49cc-abb1-c414b243991b___RS_HL 7321_final_masked.jpg,0,217.5,0,1322.947389
1,0f56566e-6151-4ede-b10b-2b1f04f23659___RS_HL 7359_final_masked.jpg,0,132.5,0,726.3056916
2,0f5cb632-9b97-48ce-88d6-45bf321175ce___RS_HL 6088_final_masked.jpg,0,175,0,1263.50879
3,0f6184c4-18d9-42c5-93d7-e9c4abe85560___RS_HL 7286_final_masked.jpg,0,88,0,790.7249575
4,0f78db5b-0775-4132-b7d6-6a5eb5f4682a___RS_HL 6006_final_masked.jpg,0,191.5,0,1360.118962
5,0fef497f-8fc7-45ee-ad1c-f4e9237fdaf4___RS_HL 7283_final_masked.jpg,0,152.5,0,1208.496597
6,1017bf7f-5a1e-459e-af55-c9a0f83f1b23___RS_HL 5868_final_masked.jpg,0,59,0,634.215291
7,101c9dba-0628-40fd-a4af-cb7f4848d414___RS_HL 7358_final_masked.jpg,0,65,0,674.2985513
8,10b8f12c-d16a-4fa0-b70a-5f066f6a1c5c___RS_HL 7312_final_masked.jpg,0,196.5,0,1029.325024
9,10f68987-caf7-4e29-aa26-b48e074212f4___RS_HL 6130_final_masked.jpg,0,72,0,586.984843
0,10f75d05-fa3e-4b14-b3d8-093292c218e6___RS_HL 7873_final_masked.jpg,0,152.5,0,1096.697608
1,1116c1cc-48d8-4bb5-8349-099690ba0b0b___RS_HL 5980_final_masked.jpg,0,119,0,1220.572717
2,1141dcab-cf2a-40e4-8b19-a33aa318f875___RS_HL 5689_final_masked.jpg,0,70,0,738.3818116
3,115ce7f7-f1b1-4f24-a96f-07107c9e703c___RS_HL 5791_final_masked.jpg,0,85,0,638.0975409
4,11636fd2-75f3-40e5-99c4-777589bfc392___RS_HL 8203_final_masked.jpg,0,114.5,0,1014.045806
6,118160af-d2a3-48ef-8134-cf72f0588cfe___RS_HL 7456_final_masked.jpg,0,175.5,0,1265.266149
7,11bc4ba3-5d5e-4b1e-a5e3-27122256864a___RS_HL 7371_final_masked.jpg,0,275.5,0,1175.928056
8,11beda66-01e9-4bfd-be37-c0f8646d1478___RS_HL 6271_final_masked.jpg,0,15056,0,542.1564159
9,11c35e07-255e-42cf-b8e9-4533c35ce2c6___RS_HL 7500_final_masked.jpg,0,183.5,0,1330.236712
0,11dc8fb3-42f9-4d14-9e20-3252e18eb802___RS_HL 6278_final_masked.jpg,0,22506,0,631.1269784
1,12253089-92a5-4a3d-b742-f554cc2a0fe0___RS_HL 5756_final_masked.jpg,0,173.5,0,1363.834691
2,122d2ed7-efb5-4a82-a6f0-74e9524e83ff___RS_HL 5702_final_masked.jpg,0,64,0,559.8721452
3,1230a95a-5f08-4fd6-b6e9-44c0c7b1fe8c___RS_HL 8092_final_masked.jpg,0,152,0,1086.513842
4,123de292-f902-404e-bfc9-3f248342f418___RS_HL 7542_final_masked.jpg,0,101.5,0,691.9381605
5,129abcae-51bd-43d9-9f30-c4e07523186a___RS_HL 7769_final_masked.jpg,0,149.5,0,861.5016497
6,12f455c2-a44e-4069-a8fb-b7bec17d23c1___RS_HL 5895_final_masked.jpg,0,52,0,485.7888849
7,130a93b4-92ca-4883-b003-37954a929dbf___RS_HL 7855_final_masked.jpg,0,20097,0,759.0681033
8,13227870-bd81-48a1-97a0-8c5bcecef8f7___RS_HL 7452_final_masked.jpg,0,100,0,836.3229365
9,13298d36-4425-437d-ae8e-c7d70e200084___RS_HL 6271_final_masked.jpg,0,15056,0,542.1564159
0,1331fd38-acdf-488f-a5db-8dfcecfa5690___RS_HL 7381_final_masked.jpg,0,153.5,0,1218.839743
1,133aae4b-64c8-4def-8f1d-cdc4e1bb73a7___RS_HL 6180_final_masked.jpg,0,146,0,908.2295716
2,1356ba06-a72d-480b-b9e5-7bc349d9e605___RS_HL 6208_final_masked.jpg,0,149,0,1088.170696
3,13575fc3-1674-4511-a124-2ed065f00cda___RS_HL 7351_final_masked.jpg,0,122.5,0,844.7909728
4,13866bf5-0193-41b4-8e26-cb09d35e8697___RS_HL 5945_final_masked.jpg,0,100,0,739.9797907
5,1398b04d-e259-418b-a5db-d4b20b7a3380___RS_HL 7536_final_masked.jpg,0,102.5,0,650.908723
6,139cb003-2cc1-43ce-bbdf-29767f9e2ce0___RS_HL 7386_final_masked.jpg,0,70,0,709.4701242
7,139ff5a7-102b-4434-b540-eb6930e6d968___RS_HL 7910_final_masked.jpg,0,19891,0,703.3523741
8,13a06d54-2bd9-4bd0-a260-1c193ac4caa8___RS_HL 6293_final_masked.jpg,0,109,0,968.5483322
9,13bbfa7e-e864-414e-a16b-cb08688604ae___RS_HL 6190_final_masked.jpg,0,14.5,0,407.3797237
0,13c8382b-ca6c-45f5-a6d0-acd67fb28651___RS_HL 7284_final_masked.jpg,0,17621.5,0,667.3107439
1,13cdbdbe-be7f-463c-9085-9ae160412772___RS_HL 6286_final_masked.jpg,0,17202,0,582.1564159
2,13dba956-2c74-400e-a2ac-b06baeee5e38___RS_HL 7571_final_masked.jpg,0,165.5,0,1103.241764
4,14009d84-bca8-4054-b09d-7fd4241c74a6___RS_HL 7907_final_masked.jpg,0,152.5,0,1296.295587
5,14284447-1510-439f-bb04-8977e8fa8cbb___RS_HL 6257_final_masked.jpg,0,44,0,321.5634892
6,1477ac33-4284-4db3-9a91-dbd61e6183e3___RS_HL 8059_final_masked.jpg,0,161,0,944.371707
7,14828181-53d0-4dfb-92b1-d7a52602f3cb___RS_HL 7517_final_masked.jpg,0,94,0,350.5929267
8,14896dc0-688d-456f-b5ec-a037695b0193___RS_HL 6268_final_masked.jpg,0,17874.5,0,563.6295046
9,1490daeb-9cfb-4456-bb27-dd836f9e07a6___RS_HL 5959_final_masked.jpg,0,24815,0,689.9554055
0,1495b096-6249-4f8c-b9e5-37e09fc21d1a___RS_HL 7716_final_masked.jpg,0,179,0,1260.680363
1,1497c20f-448a-48e2-9cf0-b4fc8cfa848a___RS_HL 6292_final_masked.jpg,0,21988,0,642.4406867
2,14a71f70-0cd9-416c-88c9-5a76e0473e07___RS_HL 7884_final_masked.jpg,0,153.5,0,1014.555472
3,14bb032e-5462-40e4-9056-0e9c3eb47946___RS_HL 7301_final_masked.jpg,0,87.5,0,565.5117544
4,14c60de6-5641-4531-b2af-d1b767c28176___RS_HL 8161_final_masked.jpg,0,146.5,0,949.986931
5,14c691eb-78de-417f-8832-93427151a6e1___RS_HL 8090_final_masked.jpg,0,187.5,0,1046.638733
6,14e92721-00a0-4696-9392-d3f633082454___RS_HL 5654_final_masked.jpg,0,57.5,0,480.1736609
7,153e84e2-1849-4cf6-96b7-a1507376d496___RS_HL 8198_final_masked.jpg,0,217,0,1392.503738
8,153ee5ec-b8c2-4dd1-9387-cb0e796f301b___RS_HL 7563_final_masked.jpg,0,89.5,0,747.1686085
9,1598eb2e-21c6-4fda-9080-945551c7f2ee___RS_HL 7501_final_masked.jpg,0,69,0,496.3574264
0,15a995e0-2e4a-486b-8509-db35d944ce6d___RS_HL 8086_final_masked.jpg,0,110.5,0,753.5361396
2,15b10e4e-2d9b-463e-85c0-d66ba29c5b49___RS_HL 7506_final_masked.jpg,0,222.5,0,1230.403232
3,15bacfc9-1875-48b3-9b91-8b60f030d7ca___RS_HL 7240_final_masked.jpg,0,168.5,0,1049.526035
4,1617e81b-190b-41e8-b258-cf432f65b7ab___RS_HL 6058_final_masked.jpg,0,12170.5,0,463.830515
5,1630633a-63cb-433f-96bc-bc47a933506c___RS_HL 5718_final_masked.jpg,0,133,0,784.3473217
6,1652d645-fb1b-4529-acbe-17093566cd2a___RS_HL 8074_final_masked.jpg,0,102,0,630.523947
7,16590622-481b-4f63-ac18-7f590f6af49a___RS_HL 7846_final_masked.jpg,0,108.5,0,682.908723
8,167f191e-491b-471a-8dc7-ba76315fef0a___RS_HL 7279_final_masked.jpg,0,94.5,0,461.5706295
9,167f64e6-c4c5-423b-8506-9b8210d5fd75___RS_HL 7926_final_masked.jpg,0,88.5,0,689.4528793
1,16b2b778-a864-496e-b292-3e9b4029902b___RS_HL 6178_final_masked.jpg,0,107.5,0,875.678275
2,16f4ae2e-0592-4a9b-ba7d-df9db0cc04fc___RS_HL 7688_final_masked.jpg,0,96.5,0,663.4528793
3,176a0917-16d8-43c6-8698-1ae095282e66___RS_HL 7903_final_masked.jpg,0,26043.5,0,808.2224313
4,177523d1-d9b9-4ba5-94b9-22d5832aa664___RS_HL 5762_final_masked.jpg,0,57,0,482.4163015
5,177ee310-d918-4756-ab59-f6f5a1b9e446___RS_HL 7740_final_masked.jpg,0,109.5,0,887.3351291
6,179ad6a1-385b-42a2-8232-538664869673___RS_HL 5771_final_masked.jpg,0,41,0,519.1025932
7,17af118c-a4aa-49c6-b31b-b7de49b58dfa___RS_HL 7557_final_masked.jpg,0,154,0,1190.597103
8,17e328e5-37ef-4f34-b610-092fdfbbb314___RS_HL 5915_final_masked.jpg,0,180.5,0,1345.55042
9,18121688-72a8-414a-8e36-43060cdebb22___RS_HL 5747_final_masked.jpg,0,187.5,0,1402.805253
0,181ce194-fdc9-4f0b-ae8d-0c621f723279___RS_HL 7487_final_masked.jpg,0,24415,0,728.7249575
1,18571abd-0d3c-42de-a257-f46c1a6d1517___RS_HL 6126_final_masked.jpg,0,66.5,0,706.8843378
2,18873cb4-cf30-414d-9ffd-c965879d84b1___RS_HL 6239_final_masked.jpg,0,16918.5,0,601.7716399
3,188d8d1c-a33a-4513-b97f-466135939339___RS_HL 8151_final_masked.jpg,0,120.5,0,1294.957493
4,189c5270-4ba6-4c14-bfb2-3a7dd4d3e7aa___RS_HL 5984_final_masked.jpg,0,158.5,0,1003.928056
5,18a10d55-e00c-4bb7-9ea6-d11bf0de070e___RS_HL 7252_final_masked.jpg,0,153.5,0,1060.413337
6,19331cca-70bd-47e9-8e0e-2b3ea81f2d1c___RS_HL 5655_final_masked.jpg,0,84.5,0,524.0559107
7,194c4f91-31be-425f-8ac9-698202cf507d___RS_HL 7470_final_masked.jpg,0,80,0,483.6711347
8,198ed991-931b-444a-986d-a3facdb8255b___RS_HL 8105_final_masked.jpg,0,128.5,0,846.1046811
9,19b3dc29-de7d-46e8-af14-7451d779f424___RS_HL 7373_final_masked.jpg,0,153.5,0,1199.040754
0,1a0ddafd-c52e-4ea1-ab34-a302cdc27be1___RS_HL 5785_final_masked.jpg,0,37,0,498.676187
1,1a1937a5-c204-4bde-8f70-58b619125c88___RS_HL 7722_final_masked.jpg,0,118,0,1107.033613
2,1a219a0d-defa-4ed1-8878-e3f6aeac847b___RS_HL 6046_final_masked.jpg,0,15.5,0,203.0954529
3,1a593b62-fe23-462c-bf68-50f53f357609___RS_HL 6322_final_masked.jpg,0,101.5,0,921.678275
4,1a905d2f-3b54-41b4-bab8-3c2b0845a91d___RS_HL 7958_final_masked.jpg,0,195.5,0,1204.520983
5,1aa82164-61f2-4baf-b99d-41f18f6e98cc___RS_HL 8087_final_masked.jpg,0,99.5,0,720.908723
6,1aaa3665-febe-407c-8830-7919b093305e___RS_HL 7803_final_masked.jpg,0,18099,0,801.2346239
7,1ab5e019-e5f0-4d8e-a252-94cb0aab8b0a___RS_HL 6269_final_masked.jpg,0,20760.5,0,618.4579316
8,1ab74120-9cfd-47dd-9a80-ee37f2328be6___RS_HL 7667_final_masked.jpg,0,147.5,0,1439.609295
0,1b36926c-faee-4b6c-9f66-26d1377b9a78___RS_HL 7662_final_masked.jpg,0,24968,0,661.1269784
1,1b7e4b68-0062-410d-a57f-48177145dfb6___RS_HL 7734_final_masked.jpg,0,149.5,0,1193.58491
2,1b9f5fe1-6d06-4ff6-a35d-3155f623e4fb___RS_HL 6228_final_masked.jpg,0,105.5,0,843.5361396
3,1c116208-4ef8-4b42-ba20-92c3b9ca957c___RS_HL 5885_final_masked.jpg,0,76,0,772.2396762
4,1c2b0674-384b-4cad-8704-80781a89d78a___RS_HL 5848_final_masked.jpg,0,147,0,1177.42553
6,1c34397e-9b33-436e-83fc-bd42014fdfa6___RS_HL 5687_final_masked.jpg,0,73.5,0,649.369619
7,1c45cf6f-2e2e-4091-9bc9-24463f9fcf90___RS_HL 5733_final_masked.jpg,0,194.5,0,1624.403232
8,1c807ca4-b6f5-4123-8d3b-cd44238df38d___RS_HL 6140_final_masked.jpg,0,174.5,0,1010.354462
9,1c85fc77-1843-4a85-8f21-107385d5873c___RS_HL 7272_final_masked.jpg,0,118,0,699.4356344
0,1cb890ab-c267-467f-abbc-be9023cb55ff___RS_HL 5667_final_masked.jpg,0,91.5,0,763.9381605
1,1cbe6aef-57d4-4f2a-b8fb-0375db7084d3___RS_HL 7356_final_masked.jpg,0,94,0,548.4406867
2,1cd322aa-2fdf-4e50-bb72-f9ebe031f385___RS_HL 7315_final_masked.jpg,0,112.5,0,685.8792855
3,1ceda3e6-3df1-4a82-a5f5-6c62dbd8ccc3___RS_HL 8072_final_masked.jpg,0,122.5,0,906.2468165
4,1cf4ad6b-8c00-42de-aff0-ee2662c54df1___RS_HL 7462_final_masked.jpg,0,155.5,0,1236.555472
5,1d44a5a9-c15c-40d5-b2d6-bbd9e84c96ea___RS_HL 7923_final_masked.jpg,0,137.5,0,922.5310873
6,1d4ea234-bb1b-44ec-9114-d1ea9abece5c___RS_HL 8002_final_masked.jpg,0,86,0,792.7249575
7,1d68db41-8cec-49d7-b702-d16e36348f6e___RS_HL 6300_final_masked.jpg,0,20022,0,594.4406867
8,1d74d65a-039c-41d6-a459-13f946971ca1___RS_HL 7582_final_masked.jpg,0,190.5,0,1309.491545
9,1d74fb02-045f-4919-b360-46e51ee33e82___RS_HL 6086_final_masked.jpg,0,22813,0,653.1269784
0,1d7c71d2-fac0-4ee6-8def-765282cb744c___RS_HL 5758_final_masked.jpg,0,116.5,0,770.7077125
1,1d98a80e-f33b-44e5-99de-89fb990211f5___RS_HL 7834_final_masked.jpg,0,186.5,0,1205.692556
2,1dabd7f0-68f4-4d1b-b026-e314457de638___RS_HL 8153_final_masked.jpg,0,187,0,1167.994071
3,1db9945a-de31-4e5f-9f95-2888c6330057___RS_HL 7901_final_masked.jpg,0,211,7.5,1450.160592
4,1dbfc9d3-f568-4e19-a83c-8fa408cfea3a___RS_HL 5909_final_masked.jpg,0,147,0,1058.714853
5,1e59b25e-551a-4343-a551-cd03abdb5cac___RS_HL 7376_final_masked.jpg,0,114,0,726.4650719
6,1ec5d93e-76ab-44cf-a53e-ef3f741a095a___RS_HL 7504_final_masked.jpg,0,184,0,1211.023509
7,1ecec99b-aeb0-4261-85cf-ac2e8cc80ebd___RS_HL 6073_final_masked.jpg,0,42.5,0,351.6051193
8,1ee2a8ac-77e7-4799-bff1-be48e8aa9ae5___RS_HL 7303_final_masked.jpg,0,215.5,0,1201.976826
9,1f2a82f5-af63-46b8-9c18-d8b9567db343___RS_HL 7849_final_masked.jpg,0,99,0,1090.205186
0,1f2d1c4b-78cd-418a-b0c3-2565b530fe5b___RS_HL 7572_final_masked.jpg,0,67.5,0,689.5706295
1,1f2ffb52-a697-43fc-a0d0-609d30e33bfe___RS_HL 6010_final_masked.jpg,0,135,0,1250.170696
2,1fae0947-05ec-4487-a8d4-5ce3c860a21f___RS_HL 7962_final_masked.jpg,0,158,0,1186.396092
3,1fd5cde9-dc78-4b8d-a82c-ab9a29880894___RS_HL 7918_final_masked.jpg,0,174,0,1367.650925
4,1fdc99ae-fbc7-480f-9cde-e80b54744c0d___RS_HL 7972_final_masked.jpg,0,124,0,1168.229572
5,1ff38f29-401d-4ec7-a99a-c4d3ccf42efc___RS_HL 7498_final_masked.jpg,0,112,0,983.3178842
6,20102c8b-dde0-47d2-8035-7ceeb42f1961___RS_HL 6207_final_masked.jpg,0,76,0,598.6416972
7,201de0e4-a74d-4dff-9b5b-e997d36e63d7___RS_HL 7569_final_masked.jpg,0,113,0,1188.572717
8,203d4b1b-d358-43d5-bd7f-273e68993961___RS_HL 7590_final_masked.jpg,0,92,0,653.6955199
9,2056f48c-137e-4a96-b26d-1c6dae33ee47___RS_HL 7567_final_masked.jpg,0,82.5,0,518.8843378
0,2074d81b-88ad-40f7-9e7a-cd24c2435ea9___RS_HL 5804_final_masked.jpg,0,145,0,1219.768676
1,2076cebe-cecb-463f-9a0a-a20c4e53e5f3___RS_HL 5900_final_masked.jpg,0,58.5,0,570.4579316
2,20828c75-15bc-4c31-a3ef-4ee3bfb7081b___RS_HL 8065_final_masked.jpg,0,214,0,1330.503738
3,20a6a1df-7c88-4c01-bfe0-2110c1eb0324___RS_HL 8133_final_masked.jpg,0,146.5,25,950.6732227
4,20c2fcd9-0df2-4a18-a976-5a4f2e3f22aa___RS_HL 7882_final_masked.jpg,0,151.5,0,1074.070191
5,20d16569-6237-4038-b6a9-2b2e5375beea___RS_HL 6042_final_masked.jpg,0,118,0.5,891.6610301
6,2116b976-703d-46af-b8a0-ee3ff8e4afa4___RS_HL 5793_final_masked.jpg,0,52.5,0,621.4873692
